Sport,Gender,Event,Athlete,Medal,Team
Cricket,M,Cricket,Timothee H Jordan,SILVER,Great Britain
,,,,,
Croquet,M,"Croquet, Doubles",Georges Johin,GOLD,France
,,,,,
Croquet,M,"Croquet, Doubles",Gaston Aumoitte,GOLD,France
,,,,,
Croquet,M,"Croquet, Singles (1 Ball)",Gaston Aumoitte,GOLD,France
,,,,,
Croquet,M,"Croquet, Singles (1 Ball)",Georges Johin,SILVER,France
,,,,,
Croquet,M,"Croquet, Singles (1 Ball)",Chrétien Waydelich,BRONZE,France
,,,,,
Croquet,M,"Croquet, Singles (2 Balls)",Chrétien Waydelich,GOLD,France
,,,,,
Croquet,M,"Croquet, Singles (2 Balls)",Maurice Vignerot,SILVER,France
,,,,,
Croquet,M,"Croquet, Singles (2 Balls)",Jacques Sautereau,BRONZE,France
,,,,,
Cycling,M,Individual Sprint,Albert Taillandier,GOLD,France
,,,,,
Cycling,M,Individual Sprint,Fernand Sanz,SILVER,France
,,,,,
Cycling,M,Individual Sprint,John Lake,BRONZE,United States
,,,,,
Cycling,M,Points Race,Enrico Brusoni,GOLD,Italy
,,,,,
Cycling,M,Points Race,Karl Duill,SILVER,Germany
,,,,,
Cycling,M,Points Race,Louis Troussellier,BRONZE,France
,,,,,
Cycling,M,25km Track Race,Louis Bastien,GOLD,France
,,,,,
Cycling,M,25km Track Race,Louis Hildebrand,SILVER,France
,,,,,
Cycling,M,25km Track Race,Auguste Daumain,BRONZE,France
,,,,,
Equestrian,M,Hacks and Hunter combined,Napoléon Murat,GOLD,France
,,,,,
Equestrian,M,Hacks and Hunter combined,Archenoul,SILVER,France
,,,,,
Equestrian,M,Hacks and Hunter combined,Marquis de Montesquiou-Fézensac,BRONZE,France
,,,,,
Equestrian,M,High Jump,Dominique Gardères,GOLD,France
,,,,,
Equestrian,M,High Jump,Gian Giorgio Trissino,GOLD,Italy
,,,,,
Equestrian,M,High Jump,Georges van de Poele,BRONZE,Belgium
,,,,,
Equestrian,M,"Jumping, Individual",Aimé Haegeman,GOLD,Belgium
,,,,,
Equestrian,M,"Jumping, Individual",Georges van de Poele,SILVER,Belgium
,,,,,
Equestrian,M,"Jumping, Individual",Louis de Champsavin,BRONZE,France
,,,,,
Equestrian,M,Long Jump,Constant van Langhendonck,GOLD,Belgium
,,,,,
Equestrian,M,Long Jump,Gian Giorgio Trissino,SILVER,Italy
,,,,,
Equestrian,M,Long Jump,Camille de La Forgue de Bellegarde,BRONZE,France
,,,,,
Equestrian,M,Mail Coach (mixed 4-in-1),Georges Nagelmackers,GOLD,Belgium
,,,,,
Equestrian,M,Mail Coach (mixed 4-in-1),Léon Thome,SILVER,France
,,,,,
Equestrian,M,Mail Coach (mixed 4-in-1),"Jean, Baron de Neuflize",BRONZE,France
,,,,,
Fencing,M,"Foil, Individual",Emile Coste,GOLD,France
,,,,,
Fencing,M,"Foil, Individual",Henri Masson,SILVER,France
,,,,,
Fencing,M,"Foil, Individual",Jacques Boulenger,BRONZE,France
,,,,,
Fencing,M,"Foil, Masters",Lucien Mérignac,GOLD,France
,,,,,
Fencing,M,"Foil, Masters",Alphonse Kirchhoffer,SILVER,France
,,,,,
Fencing,M,"Foil, Masters",Jean-Baptiste Mimiague,BRONZE,France
,,,,,
Fencing,M,"Épée, Individual",Ramón Fonst,GOLD,Cuba
,,,,,
Fencing,M,"Épée, Individual",Louis Perrée,SILVER,France
,,,,,
Fencing,M,"Épée, Individual",Léon Sée,BRONZE,France
,,,,,
Fencing,M,"Épée, Masters",Albert Ayat,GOLD,France
,,,,,
Fencing,M,"Épée, Masters",Emile Bougnol,SILVER,France
,,,,,
Fencing,M,"Épée, Masters",Henri Laurent,BRONZE,France
,,,,,
Fencing,M,Épée for Amateurs and Masters (Open),Albert Ayat,GOLD,France
,,,,,
Fencing,M,Épée for Amateurs and Masters (Open),Ramón Fonst,SILVER,Cuba
,,,,,
Fencing,M,Épée for Amateurs and Masters (Open),Léon Sée,BRONZE,France
,,,,,
Fencing,M,"Sabre, Individual",Georges de la Falaise,GOLD,France
,,,,,
Fencing,M,"Sabre, Individual",Léon Thiébaut,SILVER,France
,,,,,
Fencing,M,"Sabre, Individual",Fritz Flesch,BRONZE,Austria
,,,,,
Fencing,M,"Sabre, Masters",Antonio Conte,GOLD,Italy
,,,,,
Fencing,M,"Sabre, Masters",Italo Santelli,SILVER,Italy
,,,,,
Fencing,M,"Sabre, Masters",Milan Neralic,BRONZE,Austria
,,,,,
Football,M,Team Soccer,"Walter John ""Jack"" Zealley",GOLD,Great Britain
,,,,,
Football,M,Team Soccer,Arthur Turner,GOLD,Great Britain
,,,,,
Football,M,Team Soccer,William Gosling,GOLD,Great Britain
,,,,,
Football,M,Team Soccer,Henry Haslam,GOLD,Great Britain
,,,,,
Football,M,Team Soccer,James H Jones,GOLD,Great Britain
,,,,,
Football,M,Team Soccer,John Nicholas,GOLD,Great Britain
,,,,,
Football,M,Team Soccer,Bill Quash,GOLD,Great Britain
,,,,,
Football,M,Team Soccer,Fred G Spackman,GOLD,Great Britain
,,,,,
Football,M,Team Soccer,Alfred Chalk,GOLD,Great Britain
,,,,,
Football,M,Team Soccer,Claude Buckenham,GOLD,Great Britain
,,,,,
Football,M,Team Soccer,Tom Eustace Burridge,GOLD,Great Britain
,,,,,
Football,M,Team Soccer,Fernand Canelle,SILVER,France
,,,,,
Football,M,Team Soccer,Pierre Allemane,SILVER,France
,,,,,
Football,M,Team Soccer,Louis Bach,SILVER,France
,,,,,
Football,M,Team Soccer,Alfred Bloch,SILVER,France
,,,,,
Football,M,Team Soccer,Maurice Macaire,SILVER,France
,,,,,
Football,M,Team Soccer,Marcel Lambert,SILVER,France
,,,,,
Football,M,Team Soccer,Lucien Huteau,SILVER,France
,,,,,
Football,M,Team Soccer,R Duparc,SILVER,France
,,,,,
Football,M,Team Soccer,Eugène Fraysse,SILVER,France
,,,,,
Football,M,Team Soccer,Virgile Gaillard,SILVER,France
,,,,,
Football,M,Team Soccer,Rene Grandjean,SILVER,France
,,,,,
Football,M,Team Soccer,George Garnier,SILVER,France
,,,,,
Football,M,Team Soccer,Gaston Peltier,SILVER,France
,,,,,
Football,M,Team Soccer,Georges Pelgrims,BRONZE,Belgium
,,,,,
Football,M,Team Soccer,Alphonse Renier,BRONZE,Belgium
,,,,,
Football,M,Team Soccer,Emile Spanoghe,BRONZE,Belgium
